group,queue,waiting,vehicle_count
1083,0.0,0.0,31.0
1084,0.0,0.0,31.0
1085,0.0,0.0,32.2
1086,0.0,0.0,32.0
1087,0.9,2.7,30.2
1088,4.5,31.9,28.4
1089,1.0,10.5,27.0
1090,0.0,0.0,23.8
1091,0.0,0.0,20.5
1092,0.0,0.0,20.1
1093,0.0,0.0,21.5
1094,0.0,0.0,23.0
1095,0.0,0.0,25.5
1096,0.0,0.0,25.0
1097,0.8,3.6,21.5
1098,0.0,0.0,17.9
1099,0.0,0.0,15.6
1100,0.0,0.0,15.9
1101,0.0,0.0,16.2
1102,0.0,0.0,14.9
1103,0.0,0.0,14.0
1104,0.0,0.0,14.0
1105,0.0,0.0,11.4
1106,0.0,0.0,8.5
1107,0.0,0.0,8.0
1108,0.0,0.0,8.0
1109,0.0,0.0,7.5
1110,0.0,0.0,7.0
1111,0.0,0.0,7.0
1112,0.0,0.0,7.0
1113,0.0,0.0,7.0
1114,0.0,0.0,6.2
1115,0.0,0.0,6.0
1116,0.0,0.0,6.0
1117,0.0,0.0,4.3
1118,0.0,0.0,3.7
1119,0.0,0.0,1.3333333333333333
