step,tls_id,queue,waiting,vehicle_count,phase
52,J4,2,22.0,52,2
52,J8,1,3.0,52,2
53,J0,0,0.0,53,2
53,J1,1,2.0,53,2
53,J10,0,0.0,53,2
53,J11,3,11.0,53,2
53,J12,6,90.0,53,2
53,J13,0,0.0,53,2
53,J2,2,7.0,53,2
53,J4,2,24.0,53,2
53,J8,1,4.0,53,2
54,J0,1,1.0,53,2
54,J1,1,3.0,53,2
54,J10,0,0.0,53,2
54,J11,3,10.0,53,2
54,J12,6,96.0,53,2
54,J13,0,0.0,53,2
54,J2,2,9.0,53,2
54,J4,2,26.0,53,2
54,J8,1,5.0,53,2
55,J0,1,2.0,51,2
55,J1,1,4.0,51,2
55,J10,0,0.0,51,2
55,J11,1,9.0,51,2
55,J12,6,102.0,51,2
55,J13,0,0.0,51,2
55,J2,2,11.0,51,2
55,J4,2,28.0,51,2
55,J8,2,7.0,51,2
56,J0,1,3.0,52,2
56,J1,1,5.0,52,2
56,J10,0,0.0,52,2
56,J11,2,11.0,52,2
56,J12,6,108.0,52,3
56,J13,0,0.0,52,2
56,J2,3,14.0,52,2
56,J4,3,31.0,52,2
56,J8,2,9.0,52,2
57,J0,1,4.0,53,2
57,J1,1,6.0,53,2
57,J10,0,0.0,53,2
57,J11,3,13.0,53,2
57,J12,9,117.0,53,3
57,J13,0,0.0,53,2
57,J2,3,17.0,53,2
57,J4,3,34.0,53,3
57,J8,2,11.0,53,2
58,J0,2,5.0,54,2
58,J1,1,7.0,54,2
58,J10,0,0.0,54,2
58,J11,3,16.0,54,2
58,J12,9,126.0,54,3
58,J13,0,0.0,54,2
58,J2,3,15.0,54,2
58,J4,4,38.0,54,3
58,J8,2,13.0,54,2
59,J0,1,6.0,55,2
59,J1,2,9.0,55,2
59,J10,0,0.0,55,2
59,J11,4,19.0,55,2
59,J12,8,93.0,55,4
59,J13,0,0.0,55,2
59,J2,2,16.0,55,2
59,J4,4,42.0,55,3
59,J8,2,15.0,55,2
60,J0,1,7.0,57,2
60,J1,2,11.0,57,2
60,J10,0,0.0,57,2
60,J11,4,22.0,57,2
60,J12,8,101.0,57,4
60,J13,0,0.0,57,2
60,J2,2,18.0,57,2
60,J4,3,19.0,57,4
60,J8,2,17.0,57,2
61,J0,1,8.0,58,2
61,J1,2,13.0,58,2
61,J10,1,0.0,58,2
61,J11,3,25.0,58,2
61,J12,8,109.0,58,4
61,J13,1,1.0,58,2
61,J2,3,21.0,58,2
61,J4,1,2.0,58,4
61,J8,2,19.0,58,2
62,J0,2,10.0,58,2
62,J1,2,15.0,58,2
62,J10,0,0.0,58,2
62,J11,3,28.0,58,2
62,J12,8,117.0,58,4
62,J13,1,2.0,58,2
62,J2,3,24.0,58,2
62,J4,0,0.0,58,4
62,J8,2,21.0,58,2
63,J0,2,12.0,58,2
63,J1,2,17.0,58,2
63,J10,0,0.0,58,2
63,J11,3,31.0,58,2
63,J12,8,125.0,58,4
63,J13,1,3.0,58,2
63,J2,4,27.0,58,2
63,J4,0,0.0,58,4
63,J8,3,24.0,58,2
64,J0,2,14.0,58,2
64,J1,2,19.0,58,2
64,J10,0,0.0,58,2
64,J11,4,34.0,58,2
64,J12,8,133.0,58,4
64,J13,1,4.0,58,2
64,J2,3,30.0,58,2
64,J4,0,0.0,58,4
64,J8,3,27.0,58,2
65,J0,2,16.0,58,2
65,J1,2,21.0,58,2
65,J10,0,0.0,58,2
65,J11,3,37.0,58,2
65,J12,8,141.0,58,4
65,J13,1,5.0,58,2
65,J2,4,34.0,58,2
65,J4,0,0.0,58,4
65,J8,3,30.0,58,2
66,J0,2,18.0,60,2
66,J1,2,23.0,60,2
66,J10,0,0.0,60,2
66,J11,3,40.0,60,2
66,J12,8,149.0,60,4
66,J13,1,6.0,60,2
66,J2,4,38.0,60,2
66,J4,0,0.0,60,4
66,J8,3,33.0,60,2
67,J0,2,20.0,60,2
67,J1,2,25.0,60,2
67,J10,0,0.0,60,2
67,J11,3,43.0,60,2
67,J12,8,157.0,60,4
67,J13,1,7.0,60,2
67,J2,5,43.0,60,2
67,J4,0,0.0,60,4
67,J8,3,36.0,60,2
68,J0,2,22.0,61,2
68,J1,2,27.0,61,2
68,J10,0,0.0,61,2
68,J11,3,46.0,61,2
68,J12,8,165.0,61,4
68,J13,2,8.0,61,2
68,J2,4,44.0,61,2
68,J4,0,0.0,61,4
68,J8,3,39.0,61,2
69,J0,3,24.0,61,2
69,J1,2,29.0,61,2
69,J10,0,0.0,61,2
69,J11,3,49.0,61,2
69,J12,8,173.0,61,4
69,J13,1,9.0,61,2
69,J2,4,46.0,61,2
69,J4,0,0.0,61,4
69,J8,4,43.0,61,2
70,J0,2,26.0,62,2
70,J1,2,31.0,62,2
70,J10,0,0.0,62,2
70,J11,4,53.0,62,2
70,J12,8,181.0,62,4
70,J13,1,10.0,62,2
70,J2,5,51.0,62,2
70,J4,1,0.0,62,4
70,J8,4,47.0,62,2
71,J0,3,28.0,63,2
71,J1,2,33.0,63,2
71,J10,0,0.0,63,2
71,J11,4,57.0,63,2
71,J12,8,189.0,63,4
71,J13,1,11.0,63,2
71,J2,5,56.0,63,2
71,J4,0,0.0,63,4
71,J8,5,52.0,63,2
72,J0,2,30.0,63,2
72,J1,3,36.0,63,2
72,J10,0,0.0,63,2
72,J11,4,61.0,63,2
72,J12,8,197.0,63,4
72,J13,1,12.0,63,2
72,J2,5,61.0,63,2
72,J4,0,0.0,63,4
72,J8,6,58.0,63,2
73,J0,2,32.0,64,2
73,J1,3,39.0,64,2
73,J10,0,0.0,64,2
73,J11,4,65.0,64,2
73,J12,8,205.0,64,4
73,J13,1,13.0,64,2
73,J2,5,66.0,64,2
73,J4,0,0.0,64,4
73,J8,6,64.0,64,2
74,J0,2,34.0,64,2
74,J1,3,42.0,64,2
74,J10,1,1.0,64,2
74,J11,4,69.0,64,2
74,J12,8,213.0,64,4
74,J13,1,14.0,64,2
74,J2,6,72.0,64,2
74,J4,0,0.0,64,4
74,J8,7,71.0,64,2
75,J0,2,36.0,65,2
75,J1,3,45.0,65,2
75,J10,1,2.0,65,2
75,J11,4,73.0,65,2
75,J12,8,221.0,65,4
75,J13,1,15.0,65,2
75,J2,7,79.0,65,2
75,J4,0,0.0,65,4
75,J8,7,78.0,65,2
76,J0,2,38.0,65,2
76,J1,3,48.0,65,2
76,J10,1,3.0,65,2
76,J11,4,77.0,65,2
76,J12,8,229.0,65,4
76,J13,1,16.0,65,2
76,J2,7,86.0,65,2
76,J4,1,0.0,65,4
76,J8,7,85.0,65,2
77,J0,2,40.0,66,2
77,J1,3,51.0,66,2
77,J10,1,4.0,66,2
77,J11,4,81.0,66,2
77,J12,8,237.0,66,4
77,J13,2,17.0,66,2
77,J2,7,93.0,66,2
77,J4,0,0.0,66,4
77,J8,7,92.0,66,2
78,J0,2,42.0,67,2
78,J1,3,54.0,67,2
78,J10,1,5.0,67,2
78,J11,5,85.0,67,2
78,J12,8,245.0,67,4
78,J13,1,18.0,67,2
78,J2,7,100.0,67,2
78,J4,0,0.0,67,4
78,J8,7,99.0,67,2
79,J0,2,44.0,67,2
79,J1,3,57.0,67,2
79,J10,1,6.0,67,2
79,J11,4,89.0,67,2
79,J12,9,254.0,67,4
79,J13,1,19.0,67,2
79,J2,8,108.0,67,2
79,J4,0,0.0,67,4
79,J8,7,106.0,67,2
80,J0,3,46.0,69,2
80,J1,3,60.0,69,2
80,J10,1,7.0,69,2
80,J11,4,93.0,69,2
80,J12,9,263.0,69,4
80,J13,3,21.0,69,2
80,J2,8,116.0,69,2
80,J4,0,0.0,69,4
80,J8,7,113.0,69,2
81,J0,3,49.0,70,2
81,J1,4,64.0,70,2
81,J10,1,8.0,70,2
81,J11,5,97.0,70,2
81,J12,9,272.0,70,4
81,J13,2,23.0,70,2
81,J2,9,125.0,70,2
81,J4,0,0.0,70,4
81,J8,7,120.0,70,2
82,J0,3,52.0,70,2
82,J1,4,68.0,70,2
82,J10,1,9.0,70,2
82,J11,5,101.0,70,2
82,J12,9,281.0,70,4
82,J13,3,26.0,70,2
82,J2,10,135.0,70,2
82,J4,1,1.0,70,4
82,J8,8,128.0,70,2
83,J0,3,55.0,71,2
83,J1,4,72.0,71,2
83,J10,1,10.0,71,2
83,J11,4,105.0,71,2
83,J12,9,290.0,71,4
83,J13,4,29.0,71,2
83,J2,10,145.0,71,2
83,J4,1,2.0,71,4
83,J8,8,136.0,71,2
84,J0,3,58.0,72,2
84,J1,4,76.0,72,2
84,J10,1,11.0,72,2
84,J11,4,109.0,72,2
84,J12,9,299.0,72,4
84,J13,3,32.0,72,2
84,J2,10,155.0,72,2
84,J4,1,3.0,72,4
84,J8,8,144.0,72,2
85,J0,3,61.0,73,2
85,J1,4,80.0,73,2
85,J10,1,12.0,73,2
85,J11,5,114.0,73,2
85,J12,10,308.0,73,4
85,J13,3,35.0,73,2
85,J2,10,165.0,73,2
85,J4,1,4.0,73,4
85,J8,9,153.0,73,2
86,J0,4,64.0,74,2
86,J1,4,84.0,74,2
86,J10,1,13.0,74,2
86,J11,5,119.0,74,2
86,J12,9,317.0,74,5
86,J13,3,38.0,74,2
86,J2,11,176.0,74,2
86,J4,1,5.0,74,4
86,J8,9,162.0,74,2
87,J0,4,68.0,75,3
87,J1,4,88.0,75,3
87,J10,1,14.0,75,3
87,J11,6,124.0,75,3
87,J12,9,326.0,75,5
87,J13,3,41.0,75,3
87,J2,11,187.0,75,3
87,J4,1,6.0,75,5
87,J8,9,171.0,75,3
88,J0,4,72.0,76,3
88,J1,4,92.0,76,3
88,J10,1,15.0,76,3
88,J11,6,130.0,76,3
88,J12,9,335.0,76,5
88,J13,4,45.0,76,3
88,J2,11,198.0,76,3
88,J4,1,7.0,76,5
88,J8,9,180.0,76,3
89,J0,4,76.0,77,3
89,J1,4,96.0,77,3
89,J10,2,16.0,77,3
89,J11,6,136.0,77,3
89,J12,9,344.0,77,6
89,J13,4,49.0,77,3
89,J2,12,210.0,77,3
89,J4,1,8.0,77,5
89,J8,9,189.0,77,3
90,J0,2,14.0,78,0
90,J1,4,62.0,78,0
90,J10,0,0.0,78,0
90,J11,5,93.0,78,0
90,J12,7,249.0,78,0
90,J13,2,14.0,78,0
90,J2,10,162.0,78,0
90,J4,1,1.0,78,0
90,J8,8,157.0,78,0
91,J0,0,0.0,79,0
91,J1,3,33.0,79,0
91,J10,0,0.0,79,0
91,J11,5,59.0,79,0
91,J12,6,171.0,79,0
91,J13,1,4.0,79,0
91,J2,9,136.0,79,0
91,J4,0,0.0,79,0
91,J8,7,128.0,79,0
92,J0,1,0.0,79,0
92,J1,2,15.0,79,0
92,J10,0,0.0,79,0
92,J11,2,25.0,79,0
92,J12,4,116.0,79,0
92,J13,1,1.0,79,0
92,J2,8,113.0,79,0
92,J4,0,0.0,79,0
92,J8,6,105.0,79,0
93,J0,1,1.0,77,0
93,J1,1,4.0,77,0
93,J10,0,0.0,77,0
93,J11,2,4.0,77,0
93,J12,2,74.0,77,0
93,J13,0,0.0,77,0
93,J2,7,96.0,77,0
93,J4,0,0.0,77,0
93,J8,5,86.0,77,0
94,J0,1,2.0,79,0
94,J1,0,0.0,79,0
94,J10,0,0.0,79,0
94,J11,4,6.0,79,0
94,J12,1,38.0,79,0
94,J13,0,0.0,79,0
94,J2,6,78.0,79,0
94,J4,0,0.0,79,0
94,J8,4,67.0,79,0
95,J0,2,4.0,80,0
95,J1,0,0.0,80,0
95,J10,0,0.0,80,0
95,J11,3,9.0,80,0
95,J12,1,1.0,80,0
95,J13,0,0.0,80,0
95,J2,5,63.0,80,0
95,J4,0,0.0,80,0
95,J8,3,47.0,80,0
96,J0,2,6.0,81,0
96,J1,0,0.0,81,0
96,J10,0,0.0,81,0
96,J11,4,13.0,81,0
96,J12,2,3.0,81,0
96,J13,0,0.0,81,0
96,J2,4,50.0,81,0
96,J4,0,0.0,81,0
96,J8,3,27.0,81,0
97,J0,2,8.0,81,0
97,J1,0,0.0,81,0
97,J10,1,0.0,81,0
97,J11,4,17.0,81,0
97,J12,2,5.0,81,0
97,J13,0,0.0,81,0
97,J2,3,37.0,81,0
97,J4,0,0.0,81,0
97,J8,1,13.0,81,0
98,J0,2,10.0,80,0
98,J1,0,0.0,80,0
98,J10,0,0.0,80,0
98,J11,4,21.0,80,0
98,J12,3,8.0,80,0
98,J13,0,0.0,80,0
98,J2,2,23.0,80,0
98,J4,0,0.0,80,0
98,J8,0,0.0,80,0
99,J0,2,12.0,80,0
99,J1,0,0.0,80,0
99,J10,0,0.0,80,0
99,J11,4,20.0,80,0
99,J12,2,6.0,80,0
99,J13,0,0.0,80,0
99,J2,1,11.0,80,0
99,J4,0,0.0,80,0
99,J8,0,0.0,80,0
100,J0,3,15.0,82,0
100,J1,0,0.0,82,0
100,J10,1,0.0,82,0
100,J11,5,20.0,82,0
100,J12,2,4.0,82,0
100,J13,0,0.0,82,0
100,J2,0,0.0,82,0
100,J4,0,0.0,82,0
100,J8,0,0.0,82,0
101,J0,3,18.0,82,0
101,J1,0,0.0,82,0
101,J10,1,0.0,82,0
101,J11,4,23.0,82,0
101,J12,2,3.0,82,0
101,J13,0,0.0,82,0
101,J2,0,0.0,82,0
101,J4,0,0.0,82,0
101,J8,0,0.0,82,0
102,J0,3,21.0,81,0
102,J1,0,0.0,81,0
102,J10,0,0.0,81,0
102,J11,3,25.0,81,0
102,J12,2,3.0,81,0
102,J13,0,0.0,81,0
102,J2,0,0.0,81,0
